,Disease,County,Year,Sex,Count,Population,Rate,CI.lower,CI.upper
135024,Typhus Fever,San Bernardino,2002,Male,0,897124,0.0,0.0,0.41100000000000003
101920,Relapsing Fever,San Joaquin,2011,Female,0,347567,0.0,0.0,1.061
127066,Tuberculosis,Mendocino,2010,Female,0,43822,0.0,0.0,8.418
34515,Cysticercosis or Taeniasis,Amador,2002,Female,0,16416,0.0,0.0,22.469
51315,Gonorrhea,El Dorado,2013,Female,10,91508,10.927999999999999,5.2410000000000005,20.096
62989,HIV,Santa Barbara,2012,Female,3,211798,1.416,0.292,4.138999999999999
87371,Paralytic Shellfish Poisoning,Sierra,2012,Male,0,1586,0.0,0.0,232.32
78653,Lyme Disease,San Bernardino,2005,Female,0,975953,0.0,0.0,0.37799999999999995
95503,Q Fever,Butte,2004,Female,0,107746,0.0,0.0,3.424
125818,Trichinosis,Tehama,2014,Female,0,32186,0.0,0.0,11.46
130849,Tularemia,Tulare,2014,Male,0,230084,0.0,0.0,1.6030000000000002
64730,Influenza Death (<65 years of age),Yuba,2010,Male,0,36440,0.0,0.0,10.123
95557,Q Fever,Calaveras,2008,Female,0,22864,0.0,0.0,16.133
80710,Malaria,Mono,2014,Female,0,6912,0.0,0.0,53.355
12613,"Botulism, Wound",Alpine,2014,Female,0,534,0.0,0.0,688.421
108574,Shiga Toxin Positive Feces (without culture confirmation),Alpine,2011,Female,0,537,0.0,0.0,684.5880000000001
102424,Relapsing Fever,Sutter,2006,Female,0,45699,0.0,0.0,8.072000000000001
114220,Spotted Fever Rickettsiosis,Santa Barbara,2006,Male,0,207101,0.0,0.0,1.781
134349,Typhus Fever,Madera,2001,Male,0,60630,0.0,0.0,6.084
124231,Trichinosis,Kern,2003,Female,0,348293,0.0,0.0,1.0590000000000002
72373,Leptospirosis,Amador,2014,Female,0,16358,0.0,0.0,22.548000000000002
8111,"Botulism, Foodborne",Kern,2011,Male,0,440507,0.0,0.0,0.8370000000000001
81866,Malaria,Tulare,2006,Female,0,207930,0.0,0.0,1.774
54106,Hantavirus Infection,Kings,2010,Male,0,86475,0.0,0.0,4.266
61638,HIV,Fresno,2007,Female,26,450080,5.777,3.7739999999999996,8.464
78059,Lyme Disease,Mariposa,2003,Male,0,9048,0.0,0.0,40.762
141665,Yersiniosis,Ventura,2005,Male,0,396715,0.0,0.0,0.93
3557,Anaplasmosis and Ehrlichiosis,Modoc,2008,Male,0,4863,0.0,0.0,75.827
32213,Cryptosporidiosis,Merced,2005,Female,0,120117,0.0,0.0,3.071
95843,Q Fever,Humboldt,2006,Female,0,66298,0.0,0.0,5.564
52114,Gonorrhea,Napa,2012,Male,19,69367,27.391,16.492,42.77
56934,Hemolytic Uremic Syndrome,Modoc,2004,Male,0,4862,0.0,0.0,75.843
5297,Babesiosis,Contra Costa,2013,Female,0,554275,0.0,0.0,0.6659999999999999
131073,"Typhoid Fever, case",Alameda,2005,Female,4,744115,0.5379999999999999,0.146,1.376
127841,Tuberculosis,Santa Barbara,2002,Male,11,203289,5.4110000000000005,2.701,9.682
121282,Toxic Shock Syndrome (Non-Streptococcal),Amador,2012,Male,0,19914,0.0,0.0,18.522000000000002
140927,Yersiniosis,San Francisco,2011,Male,0,413541,0.0,0.0,0.892
52097,Gonorrhea,Napa,2007,Male,10,66424,15.055,7.22,27.685
100642,Relapsing Fever,El Dorado,2011,Female,0,90341,0.0,0.0,4.083
13695,"Botulism, Wound",Napa,2010,Female,0,68095,0.0,0.0,5.417000000000001
65056,Invasive Meningococcal Disease,Contra Costa,2006,Male,1,492997,0.203,0.005,1.13
101375,Relapsing Fever,Mono,2011,Male,0,7556,0.0,0.0,48.809
62128,Leptospirosis,Sierra,2010,Male,0,1636,0.0,0.0,225.22799999999998
113131,Spotted Fever Rickettsiosis,Kings,2008,Female,0,64879,0.0,0.0,5.686
138641,Vibrio Infection (non-Cholera),Santa Barbara,2009,Female,1,210296,0.47600000000000003,0.012,2.6489999999999996
124342,Trichinosis,Lake,2012,Female,0,32003,0.0,0.0,11.526
98354,"Rabies, human",Imperial,2012,Male,0,91745,0.0,0.0,4.021
29372,Coccidioidomycosis,Stanislaus,2001,Male,2,228067,0.877,0.106,3.168
123427,Toxic Shock Syndrome (Non-Streptococcal),Tulare,2013,Male,0,228149,0.0,0.0,1.617
35441,Cysticercosis or Taeniasis,Modoc,2001,Male,0,4764,0.0,0.0,77.402
130045,Tularemia,San Benito,2012,Male,0,28275,0.0,0.0,13.046
101701,Relapsing Fever,Sacramento,2008,Female,0,714913,0.0,0.0,0.516
18683,Campylobacteriosis,Orange,2005,Male,104,1465323,7.097,5.7989999999999995,8.6
15210,Brucellosis,Colusa,2005,Female,0,10072,0.0,0.0,36.618
137910,Vibrio Infection (non-Cholera),Modoc,2003,Male,0,4816,0.0,0.0,76.567
62647,HIV,Sacramento,2010,Female,25,724678,3.45,2.233,5.093
127606,Tuberculosis,San Bernardino,2008,Female,26,1012903,2.5669999999999997,1.6769999999999998,3.761
54582,Hantavirus Infection,Napa,2006,Male,0,65795,0.0,0.0,5.606
138252,Vibrio Infection (non-Cholera),Riverside,2005,Male,1,962558,0.10400000000000001,0.003,0.579
140062,Yersiniosis,Lassen,2003,Female,0,12307,0.0,0.0,29.969
27853,Coccidioidomycosis,Inyo,2001,Female,0,9239,0.0,0.0,39.919000000000004
66747,Invasive Meningococcal Disease,Siskiyou,2005,Male,0,22234,0.0,0.0,16.59
97336,Q Fever,Solano,2003,Male,0,205052,0.0,0.0,1.7990000000000002
42424,E. coli O157,Imperial,2010,Female,1,85187,1.1740000000000002,0.03,6.54
122332,Toxic Shock Syndrome (Non-Streptococcal),Napa,2014,Male,0,70493,0.0,0.0,5.233
138212,Vibrio Infection (non-Cholera),Plumas,2006,Female,0,10380,0.0,0.0,35.532
34135,Cyclosporiasis,San Francisco,2011,Male,0,413541,0.0,0.0,0.892
88214,Q Fever,Glenn,2011,Male,0,14265,0.0,0.0,25.855999999999998
55726,Hantavirus Infection,Tuolumne,2009,Female,0,25985,0.0,0.0,14.195
54271,Hantavirus Infection,Marin,2001,Female,0,125414,0.0,0.0,2.9410000000000003
23472,Cholera,Monterey,2003,Male,0,212515,0.0,0.0,1.736
131530,"Typhoid Fever, case",Humboldt,2003,Male,0,64742,0.0,0.0,5.6979999999999995
68788,Legionellosis,San Benito,2003,Female,0,27497,0.0,0.0,13.415
20313,Chlamydia,Fresno,2007,Female,4097,450080,910.2819999999999,882.742,938.4580000000001
58881,Hepatitis A,Santa Clara,2014,Male,9,938235,0.9590000000000001,0.439,1.821
126395,Tuberculosis,Contra Costa,2010,Male,22,513099,4.288,2.687,6.492000000000001
83139,Measles,Mono,2003,Male,0,7339,0.0,0.0,50.251000000000005
46309,Early Syphilis,Del Norte,2011,Male,0,15867,0.0,0.0,23.246
45565,E. coli Other STEC (non-O157),Shasta,2007,Female,1,89554,1.117,0.027999999999999997,6.221
94955,Psittacosis,Sonoma,2013,Female,0,249602,0.0,0.0,1.4780000000000002
8428,"Botulism, Foodborne",Mendocino,2005,Female,0,44108,0.0,0.0,8.363
80390,Malaria,Los Angeles,2005,Male,37,4839224,0.765,0.5379999999999999,1.054
38959,Dengue,Stanislaus,2003,Female,0,244919,0.0,0.0,1.506
103237,Rubella,Plumas,2014,Male,0,9821,0.0,0.0,37.554
59462,"Hepatitis B, Acute",Placer,2012,Male,0,175891,0.0,0.0,2.097
20028,Chlamydia,Amador,2010,Female,35,17118,204.46400000000003,142.45600000000002,284.245
107135,Scombroid Fish Poisoning,Mono,2004,Male,0,7404,0.0,0.0,49.81
55891,Hemolytic Uremic Syndrome,California,2008,Female,20,18526603,0.10800000000000001,0.066,0.16699999999999998
107194,Scombroid Fish Poisoning,Monterey,2010,Female,0,202106,0.0,0.0,1.825
104105,Salmonellosis,Humboldt,2003,Female,4,65437,6.1129999999999995,1.666,15.65
100338,Relapsing Fever,Alpine,2008,Female,0,581,0.0,0.0,632.908
27878,Coccidioidomycosis,Inyo,2009,Male,0,9243,0.0,0.0,39.902
121055,Tetanus,Ventura,2014,Male,0,419792,0.0,0.0,0.879
97707,Q Fever,Yolo,2001,Female,0,89655,0.0,0.0,4.114
89253,Pertussis,Placer,2011,Female,11,182237,6.0360000000000005,3.013,10.8
26081,Ciguatera Fish Poisoning,Orange,2004,Male,0,1465584,0.0,0.0,0.252
29134,Coccidioidomycosis,Santa Cruz,2006,Male,1,127491,0.784,0.02,4.37
56955,Hemolytic Uremic Syndrome,Modoc,2011,Male,0,4819,0.0,0.0,76.51899999999999
41384,Diphtheria,Solano,2011,Male,0,206673,0.0,0.0,1.785
139779,Yersiniosis,Glenn,2002,Female,0,13251,0.0,0.0,27.835
107817,Scombroid Fish Poisoning,Santa Barbara,2007,Male,1,209118,0.478,0.012,2.6639999999999997
113738,Spotted Fever Rickettsiosis,Orange,2014,Male,0,1549421,0.0,0.0,0.23800000000000002
54386,Hantavirus Infection,Mendocino,2011,Male,0,44179,0.0,0.0,8.349
51101,Gonorrhea,Butte,2005,Male,49,105281,46.542,34.434,61.527
2806,Anaplasmosis and Ehrlichiosis,Contra Costa,2011,Male,0,517556,0.0,0.0,0.713
93275,Psittacosis,El Dorado,2005,Male,0,86534,0.0,0.0,4.263
55971,Hemolytic Uremic Syndrome,Alpine,2006,Male,0,650,0.0,0.0,565.913
55214,Hantavirus Infection,Santa Clara,2006,Male,0,863494,0.0,0.0,0.42700000000000005
117763,Streptococcal Infection (cases in food and dairy workers),San Diego,2009,Female,0,1531512,0.0,0.0,0.24100000000000002
53159,Gonorrhea,Trinity,2003,Male,0,6872,0.0,0.0,53.665
66680,Invasive Meningococcal Disease,Shasta,2011,Female,2,90445,2.211,0.268,7.9879999999999995
8772,"Botulism, Foodborne",Placer,2007,Male,0,161224,0.0,0.0,2.2880000000000003
98917,"Rabies, human",Monterey,2004,Female,0,199399,0.0,0.0,1.85
103516,Rubella,Sutter,2011,Male,0,46972,0.0,0.0,7.853
18772,Campylobacteriosis,Plumas,2007,Female,0,10319,0.0,0.0,35.742
30787,Creutzfeldt-Jakob Disease and other Transmissible Spongiform Encephalopathies,Santa Barbara,2014,Female,0,217149,0.0,0.0,1.699
33364,Cryptosporidiosis,Sutter,2009,Male,0,46826,0.0,0.0,7.877999999999999
8477,"Botulism, Foodborne",Merced,2007,Male,0,125184,0.0,0.0,2.947
127748,Tuberculosis,San Joaquin,2013,Male,26,350259,7.422999999999999,4.849,10.876
7825,"Botulism, Foodborne",Del Norte,2014,Female,0,12466,0.0,0.0,29.587
4252,Anaplasmosis and Ehrlichiosis,Santa Barbara,2001,Male,0,201896,0.0,0.0,1.827
70975,Leprosy,Nevada,2004,Female,0,49110,0.0,0.0,7.511
23792,Cholera,Sacramento,2012,Female,0,731575,0.0,0.0,0.504
33268,Cryptosporidiosis,Sonoma,2005,Male,1,230875,0.433,0.011000000000000001,2.4130000000000003
119092,Tuberculosis,Siskiyou,2008,Female,0,22683,0.0,0.0,16.261
82469,Measles,Fresno,2004,Male,0,430028,0.0,0.0,0.858
52055,Gonorrhea,Monterey,2007,Male,88,209704,41.964,33.658,51.698
22206,Chlamydia,Tuolumne,2007,Male,27,29677,90.978,59.964,132.343
56846,Hemolytic Uremic Syndrome,Mendocino,2003,Female,0,44097,0.0,0.0,8.365
49105,Hantavirus Infection,Lake,2005,Male,0,31398,0.0,0.0,11.748
53206,Gonorrhea,Tulare,2005,Female,222,204140,108.749,94.919,124.025
102742,Relapsing Fever,Yuba,2014,Female,0,36503,0.0,0.0,10.105
43363,E. coli O157,San Benito,2012,Female,0,28368,0.0,0.0,13.003
21232,Chlamydia,Plumas,2005,Female,14,10450,133.976,73.262,224.679
47625,Early Syphilis,San Luis Obispo,2002,Female,0,123484,0.0,0.0,2.987
103548,Rubella,Trinity,2012,Male,0,6929,0.0,0.0,53.224
63802,Influenza Death (<65 years of age),Colusa,2014,Male,0,11117,0.0,0.0,33.177
25323,Ciguatera Fish Poisoning,Humboldt,2004,Female,0,65925,0.0,0.0,5.595
141680,Yersiniosis,Ventura,2010,Male,1,409841,0.244,0.006,1.359
103862,Salmonellosis,Calaveras,2008,Female,3,22864,13.120999999999999,2.7060000000000004,38.34
102086,Salmonellosis,Glenn,2004,Female,0,13518,0.0,0.0,27.285
74764,Listeriosis,Alpine,2001,Male,0,648,0.0,0.0,567.654
9699,"Botulism, Foodborne",Tehama,2013,Male,0,31976,0.0,0.0,11.536
69585,Legionellosis,Tuolumne,2002,Male,0,29505,0.0,0.0,12.502
49180,Giardiasis,Lake,2009,Female,0,32169,0.0,0.0,11.467
62167,Leptospirosis,Siskiyou,2009,Male,0,22361,0.0,0.0,16.496
35945,Cysticercosis or Taeniasis,San Diego,2001,Female,2,1428113,0.14,0.017,0.506
16436,Brucellosis,San Benito,2007,Male,0,27583,0.0,0.0,13.373
82697,Measles,Kern,2010,Male,0,436646,0.0,0.0,0.845
54830,Hantavirus Infection,Sacramento,2005,Female,0,693519,0.0,0.0,0.532
57353,Hemolytic Uremic Syndrome,San Benito,2004,Female,0,27433,0.0,0.0,13.446
20645,Chlamydia,Lassen,2005,Male,16,22033,72.619,41.513000000000005,117.90100000000001
59851,"Hepatitis C, Acute",Butte,2014,Female,1,112637,0.888,0.022000000000000002,4.946000000000001
4818,Anaplasmosis and Ehrlichiosis,Tuolumne,2008,Female,0,26415,0.0,0.0,13.964
17375,Brucellosis,Yuba,2004,Male,0,32827,0.0,0.0,11.237
119447,Tetanus,Lassen,2014,Female,0,12089,0.0,0.0,30.51
116122,Staphylococcus aureus Infection (cases resulting in death or ICU),Ventura,2010,Male,0,409841,0.0,0.0,0.9
42863,E. coli O157,Merced,2002,Male,1,111322,0.898,0.023,5.005
20890,Chlamydia,Merced,2003,Female,710,114558,619.774,575.144,666.93
101296,Relapsing Fever,Merced,2013,Female,0,130194,0.0,0.0,2.833
55739,Hantavirus Infection,Tuolumne,2013,Male,0,28639,0.0,0.0,12.88
34203,Cyclosporiasis,Santa Clara,2014,Female,0,936291,0.0,0.0,0.39399999999999996
51340,Gonorrhea,Fresno,2007,Male,497,449746,110.507,101.008,120.65700000000001
110708,Shigellosis,Lassen,2005,Male,0,22033,0.0,0.0,16.741
16240,Brucellosis,Orange,2012,Female,1,1553184,0.064,0.002,0.359
117172,Streptococcal Infection (cases in food and dairy workers),Mendocino,2008,Male,0,43842,0.0,0.0,8.414
124040,Trichinosis,Fresno,2009,Male,0,461948,0.0,0.0,0.799
64998,Invasive Meningococcal Disease,Colusa,2001,Female,0,9370,0.0,0.0,39.361
86674,Paralytic Shellfish Poisoning,Orange,2001,Female,0,1456262,0.0,0.0,0.253
72004,Leprosy,Tulare,2003,Male,0,195167,0.0,0.0,1.89
8572,"Botulism, Foodborne",Mono,2011,Female,0,6745,0.0,0.0,54.676
82582,Measles,Humboldt,2014,Female,0,66722,0.0,0.0,5.529
84135,Measles,Sonoma,2013,Female,0,249602,0.0,0.0,1.4780000000000002
8718,"Botulism, Foodborne",Orange,2003,Male,0,1457684,0.0,0.0,0.253
90751,"Plague, human",Contra Costa,2013,Female,0,554275,0.0,0.0,0.6659999999999999
11027,"Botulism, Other",Modoc,2001,Male,0,4764,0.0,0.0,77.402
7918,"Botulism, Foodborne",Glenn,2003,Female,0,13448,0.0,0.0,27.427
126851,Tuberculosis,Lassen,2008,Male,0,22489,0.0,0.0,16.402
50194,Giardiasis,San Mateo,2011,Female,20,370075,5.404,3.301,8.346
76992,Listeriosis,Tuolumne,2012,Male,0,28532,0.0,0.0,12.927999999999999
16139,Brucellosis,Napa,2006,Male,0,65795,0.0,0.0,5.606
67449,Legionellosis,Butte,2001,Male,1,101033,0.99,0.025,5.515
102694,Relapsing Fever,Yolo,2012,Female,0,105027,0.0,0.0,3.512
122211,Toxic Shock Syndrome (Non-Streptococcal),Mono,2002,Female,0,6130,0.0,0.0,60.159
97338,Q Fever,Solano,2004,Female,0,205205,0.0,0.0,1.798
42305,E. coli O157,Fresno,2012,Male,3,474153,0.633,0.13,1.849
21464,Chlamydia,San Diego,2012,Male,5439,1588115,342.48199999999997,333.454,351.69
82904,Measles,Madera,2009,Male,0,72263,0.0,0.0,5.105
391,Amebiasis,El Dorado,2005,Female,0,86647,0.0,0.0,4.257
37492,Dengue,Kern,2005,Female,0,369284,0.0,0.0,0.9990000000000001
36049,Cysticercosis or Taeniasis,San Joaquin,2007,Male,0,333609,0.0,0.0,1.1059999999999999
79066,Lyme Disease,Sierra,2002,Male,0,1805,0.0,0.0,204.16099999999997
